('norm', 'no pca', 'full', 4), ((0.25938009787928223, -1.1050868875508009), 0.2724306688417618)
('raw', 9, 'full', 4), ((0.2691680261011419, -0.32468968703533996), 0.2765089722675367)
('raw', 10, 'full', 4), ((0.27895595432300163, -0.4093646004910294), 0.2903752039151713)
('raw', 'no pca', 'full', 3), ((0.2814029363784666, -0.31401609029594013), 0.2911908646003263)
('raw', 'no pca', 'full', 4), ((0.28874388254486133, -0.4537213944611711), 0.30179445350734097)
('raw', 9, 'full', 3), ((0.2895595432300163, -0.49291424948285645), 0.29853181076672103)
('norm', 'no pca', 'tied_full', 3), ((0.2911908646003263, 1.189854551054177), 0.3091353996737357)
('raw', 10, 'full', 2), ((0.29282218597063625, 0.1877522738874422), 0.300978792822186)
('norm', 'no pca', 'full', 2), ((0.29445350734094616, -0.36208615593354665), 0.2985318107667211)
('norm', 'no pca', 'full', 3), ((0.29526916802610115, -0.5693232773456138), 0.31239804241435565)
('raw', 'no pca', 'full', 2), ((0.29608482871125613, 0.4972813372194782), 0.3132137030995106)
('raw', 10, 'full', 3), ((0.29771615008156604, -0.514977195521011), 0.3091353996737357)
('raw', 9, 'full', 2), ((0.29771615008156604, 0.13964480689464231), 0.3034257748776509)
('raw', 10, 'tied_full', 4), ((0.29853181076672103, 0.3115215800954356), 0.3115823817292006)
('raw', 'no pca', 'diag', 4), ((0.300978792822186, -0.16981795863087612), 0.31239804241435565)
('raw', 10, 'tied_full', 0), ((0.30587275693311583, 0.32830235366008864), 0.3205546492659054)
('raw', 10, 'tied_full', 1), ((0.30587275693311583, 0.3283217765011628), 0.3205546492659054)
('raw', 9, 'tied_full', 4), ((0.30587275693311583, 0.32295942264655686), 0.3140293637846656)
('norm', 'no pca', 'full', 1), ((0.30587275693311583, 0.49990445790964344), 0.3262642740619902)
('norm', 'no pca', 'tied_full', 0), ((0.30750407830342574, 0.8864906653959039), 0.3556280587275693)
('norm', 'no pca', 'tied_full', 1), ((0.30750407830342574, 0.8864978198099802), 0.3556280587275693)
('raw', 'no pca', 'tied_full', 0), ((0.3083197389885808, 0.12280521141028267), 0.32218597063621535)
('raw', 'no pca', 'tied_full', 1), ((0.3083197389885808, 0.12280322160867208), 0.32218597063621535)
('raw', 'no pca', 'tied_full', 4), ((0.3091353996737357, -0.23616824713834284), 0.31239804241435565)
('raw', 9, 'full', 1), ((0.3107667210440457, -0.30573349850495646), 0.3287112561174551)
('norm', 'no pca', 'tied_full', 4), ((0.3107667210440457, -0.012192582242265715), 0.3107667210440457)
('raw', 9, 'full', 0), ((0.3115823817292006, 0.13010952161883615), 0.3270799347471452)
('raw', 10, 'full', 1), ((0.31158238172920066, -0.3098446998036781), 0.32381729200652526)
('raw', 10, 'tied_full', 3), ((0.31158238172920066, 0.6172613751512763), 0.32137030995106036)
('norm', 'no pca', 'tied_full', 2), ((0.31158238172920066, 0.8243147454096693), 0.3458401305057096)
('raw', 10, 'tied_full', 2), ((0.31239804241435565, 0.35077222553528564), 0.32463295269168024)
('raw', 9, 'tied_full', 0), ((0.31239804241435565, 0.29942769802898006), 0.32218597063621535)
('raw', 9, 'tied_full', 1), ((0.31239804241435565, 0.2994453605094307), 0.32218597063621535)
('raw', 9, 'tied_full', 2), ((0.31239804241435565, -0.04834390422468182), 0.3156606851549756)
('raw', 'no pca', 'full', 1), ((0.3132137030995106, -0.3707265309018979), 0.3205546492659054)
('raw', 10, 'full', 0), ((0.3140293637846656, 0.23873915403904888), 0.3205546492659054)
('raw', 'no pca', 'tied_full', 3), ((0.3140293637846656, 0.5280067938930602), 0.33115823817292006)
('raw', 9, 'tied_full', 3), ((0.31566068515497553, 0.11730150143565332), 0.3205546492659054)
('norm', 'no pca', 'full', 0), ((0.31566068515497553, 1.0684643889221643), 0.3621533442088091)
('norm', 'no pca', 'diag', 4), ((0.31566068515497553, -0.7409439939332909), 0.33197389885807504)
('raw', 'no pca', 'tied_diag', 4), ((0.3164763458401305, 0.06076011616047161), 0.3205546492659054)
('raw', 10, 'tied_diag', 4), ((0.31729200652528544, 0.0955435575153043), 0.32300163132137033)
('raw', 'no pca', 'full', 0), ((0.3172920065252855, 0.4213803712335036), 0.3238172920065253)
('raw', 'no pca', 'tied_full', 2), ((0.32218597063621535, 0.16926978826836958), 0.3303425774877651)
('raw', 'no pca', 'diag', 3), ((0.32463295269168024, -0.032409157067953664), 0.3278955954323002)
('raw', 9, 'tied_diag', 3), ((0.33115823817292006, -0.03608867378038738), 0.3409461663947798)
('raw', 9, 'tied_diag', 4), ((0.33278955954323003, 0.17310503642351271), 0.3409461663947798)
('raw', 10, 'tied_diag', 3), ((0.3376835236541599, 0.44871631608258866), 0.35154975530179444)
('norm', 'no pca', 'tied_diag', 4), ((0.3401305057096248, 0.7693689321577892), 0.34828711256117456)
('raw', 'no pca', 'tied_diag', 3), ((0.3409461663947798, 0.001848536857512073), 0.34176182707993474)
('raw', 10, 'diag', 3), ((0.3433931484502447, 0.13360149638787178), 0.3523654159869494)
('norm', 'no pca', 'tied_diag', 3), ((0.3458401305057096, 1.0103744722350143), 0.3621533442088091)
('norm', 'no pca', 'diag', 2), ((0.3474714518760196, -0.1451358885783769), 0.3539967373572594)
('norm', 'no pca', 'diag', 3), ((0.3474714518760196, 0.494902908367548), 0.3523654159869494)
('raw', 9, 'diag', 3), ((0.34828711256117456, -0.9056957979497255), 0.3646003262642741)
('raw', 10, 'diag', 4), ((0.35154975530179444, -0.006060830915749271), 0.3531810766721044)
('raw', 9, 'diag', 4), ((0.3523654159869494, 0.4077807027181848), 0.3629690048939641)
('norm', 'no pca', 'tied_diag', 2), ((0.35399673735725934, 0.3922202853021002), 0.366231647634584)
('raw', 'no pca', 'tied_diag', 2), ((0.3605220228384992, 0.5474350463831357), 0.38825448613376834)
('raw', 10, 'diag', 0), ((0.3735725938009788, 0.22034771743981274), 0.3890701468189233)
('raw', 10, 'tied_diag', 0), ((0.3768352365415987, 0.2060628171284442), 0.39070146818923324)
('raw', 9, 'tied_diag', 0), ((0.3768352365415987, 0.1825521414339164), 0.38336052202283855)
('raw', 10, 'tied_diag', 2), ((0.3776508972267537, -0.3379247903929823), 0.3890701468189233)
('raw', 'no pca', 'diag', 2), ((0.3776508972267537, -0.4061781271829581), 0.3898858075040783)
('raw', 9, 'diag', 0), ((0.3800978792822186, 0.18173229532835933), 0.3915171288743883)
('raw', 9, 'tied_diag', 2), ((0.38499184339314846, -0.43257971578593946), 0.401305057096248)
('raw', 9, 'tied_diag', 1), ((0.3915171288743883, 0.09122117177722266), 0.399673735725938)
('norm', 'no pca', 'diag', 1), ((0.39477977161500816, 1.5870446295935636), 0.4094616639477977)
('raw', 'no pca', 'tied_diag', 0), ((0.39559543230016314, 0.7555098591676543), 0.4265905383360522)
('raw', 10, 'diag', 1), ((0.3972267536704731, -0.04445657262584923), 0.40375203915171287)
('raw', 10, 'diag', 2), ((0.3972267536704731, -0.3271474559792651), 0.40538336052202284)
('raw', 'no pca', 'diag', 0), ((0.3972267536704731, 0.7026171636209693), 0.4265905383360522)
('norm', 'no pca', 'tied_diag', 1), ((0.398858075040783, 2.1254653053091133), 0.4730831973898858)
('raw', 10, 'tied_diag', 1), ((0.3988580750407831, 0.27507039238195574), 0.40375203915171287)
('raw', 9, 'diag', 2), ((0.399673735725938, -0.5458630361114771), 0.4021207177814029)
('raw', 9, 'diag', 1), ((0.401305057096248, 0.08745548643565648), 0.4094616639477977)
('raw', 'no pca', 'diag', 1), ((0.401305057096248, 0.41209340079100976), 0.42495921696574224)
('raw', 'no pca', 'tied_diag', 1), ((0.41598694942903747, 1.3717954859983124), 0.4698205546492659)
('norm', 'no pca', 'diag', 0), ((0.4184339314845025, 1.6506659183864194), 0.4706362153344209)
('norm', 'no pca', 'tied_diag', 0), ((0.42088091353996737, 1.562553455749324), 0.46900489396411094)
