('norm', 10, (0, 1, 1)), ((0.27487765089722677, -0.22461695572110119), 0.29526916802610115, 0.3)
('norm', 10, (1, 1, 1)), ((0.27569331158238175, -0.30825297694737075), 0.29445350734094616, 0.2947916666666667)
('norm', 10, (0, 0.1, 1)), ((0.2765089722675367, -0.23294362892303105), 0.3034257748776509, 0.33368055555555554)
('norm', 10, (0, 10, 1)), ((0.2765089722675367, -0.30318363604720666), 0.2936378466557912, 0.3076388888888889)
('norm', 11, (1, 1, 1)), ((0.27732463295269166, -0.39596850636196024), 0.3034257748776509, 0.3366411667977407)
('norm', 10, (1, 10, 1)), ((0.2773246329526917, -0.3026725188667889), 0.29526916802610115, 0.30243055555555554)
('norm', 11, (0, 0.1, 1)), ((0.27895595432300163, -0.279894669754138), 0.3034257748776509, 0.3417173089297204)
('norm', 11, (0, 1, 1)), ((0.27895595432300163, -0.3848757748515883), 0.30424143556280586, 0.3366411667977407)
('norm', 11, (1, 0.1, 1)), ((0.28140293637846653, -0.3099505502858255), 0.300163132137031, 0.3467934510617001)
('norm', 11, (0, 10, 1)), ((0.2822185970636215, -0.26727146783613875), 0.3034257748776509, 0.34060198755987703)
('norm', 10, (1, 0.1, 1)), ((0.2822185970636215, -0.27937982691870655), 0.3034257748776509, 0.32569444444444445)
('norm', 11, (1, 10, 1)), ((0.2830342577487765, -0.283982804474217), 0.3034257748776509, 0.34060198755987703)
('norm', 9, (0, 1, 1)), ((0.30505709624796085, -0.5347722595600999), 0.3205546492659054, 0.30912438323882463)
('norm', 9, (0, 10, 1)), ((0.3058727569331158, -0.27501372393696855), 0.3197389885807504, 0.30912438323882463)
('norm', 9, (1, 1, 1)), ((0.3058727569331158, -0.2908423874103625), 0.3197389885807504, 0.31184917887915165)
('norm', 9, (1, 10, 1)), ((0.3058727569331158, -0.4767065842845426), 0.32137030995106036, 0.30912438323882463)
('norm', 9, (1, 0.1, 1)), ((0.3099510603588907, -0.057900357590664586), 0.3164763458401305, 0.3198468222991384)
('norm', 9, (0, 0.1, 1)), ((0.3107667210440457, -0.05066971762193506), 0.31729200652528544, 0.3144856027689815)
('norm', 11, (1, 10, 0)), ((0.4535073409461664, -0.49662224563041946), 0.5040783034257749, 0.593822835490098)
('norm', 11, (1, 1, 0)), ((0.45921696574225124, -0.6734991109649209), 0.5008156606851549, 0.5988989776220777)
('norm', 11, (1, 0.1, 0)), ((0.46003262642740617, -0.5189191663701441), 0.5073409461663948, 0.6090512618860371)
('norm', 11, (0, 10, 0)), ((0.4624796084828711, -0.25054813399327036), 0.4738988580750408, 0.5735182669621791)
('norm', 11, (0, 0.1, 0)), ((0.46492659053833607, -0.14008381689934019), 0.49265905383360525, 0.5678844641452777)
('norm', 11, (0, 1, 0)), ((0.4698205546492659, -0.30822122757780884), 0.48450244698205547, 0.5780367484092371)
('norm', 10, (1, 10, 0)), ((0.48858075040783033, -0.6252087230594405), 0.5513866231647635, 0.5743055555555555)
('norm', 10, (1, 1, 0)), ((0.4902120717781403, -0.6299669574269879), 0.5473083197389886, 0.5743055555555555)
('norm', 10, (0, 0.1, 0)), ((0.4926590538336052, 0.040537437702741874), 0.50163132137031, 0.579861111111111)
('norm', 10, (1, 0.1, 0)), ((0.4926590538336052, -0.3564744658175618), 0.5505709624796085, 0.5795138888888889)
('norm', 10, (0, 1, 0)), ((0.49429037520391517, 0.019400839616129706), 0.49510603588907015, 0.5875)
('norm', 10, (0, 10, 0)), ((0.4951060358890701, -0.05045004424235344), 0.49755301794453505, 0.5850694444444444)
('norm', 9, (0, 1, 0)), ((0.5097879282218597, -0.16243860851523095), 0.5481239804241436, 0.5333382428750276)
('norm', 9, (1, 0.1, 0)), ((0.5138662316476346, -0.5360736765236753), 0.5783034257748777, 0.5873481110538331)
('norm', 9, (0, 0.1, 0)), ((0.5154975530179445, -0.2030944440640262), 0.5481239804241436, 0.5522350688563222)
