('norm', 10, (0, 1, 1)), ((0.2128874388254486, 6.985426439970719e-07), 0.21451876019575855)
('norm', 11, (0, 1, 1)), ((0.21615008156606852, -8.776446118602779e-32), 0.21615008156606852)
('norm', 10, (1, 10, 1)), ((0.2169657422512235, -0.3683104099676951), 0.30668841761827076)
('norm', 10, (1, 1, 1)), ((0.22185970636215335, -0.4369371414971174), 0.3181076672104405)
('norm', 11, (0, 10, 1)), ((0.22430668841761825, -8.776571199568791e-32), 0.22430668841761825)
('norm', 10, (0, 10, 1)), ((0.22430668841761825, 6.985593531999318e-07), 0.22593800978792822)
('norm', 'no pca', (0, 1, 1)), ((0.22430668841761828, -8.776448042772254e-32), 0.22430668841761828)
('norm', 'no pca', (0, 10, 1)), ((0.22593800978792822, -8.776569856022262e-32), 0.22593800978792822)
('norm', 11, (1, 1, 1)), ((0.22593800978792822, -0.4376304190920048), 0.3197389885807504)
('norm', 'no pca', (1, 1, 1)), ((0.23083197389885807, -0.4340960835806871), 0.333605220228385)
('norm', 'no pca', (1, 10, 1)), ((0.23409461663947798, -0.3382782914945601), 0.3083197389885807)
('norm', 11, (1, 10, 1)), ((0.23980424143556278, -0.35840242480846063), 0.300978792822186)
('norm', 10, (1, 0.1, 1)), ((0.24306688417618272, -0.8909277906510368), 0.9208809135399674)
('norm', 10, (0, 0.1, 10)), ((0.24551386623164764, 2.767299686053005e-63), 0.24714518760195758)
('norm', 10, (0, 1, 10)), ((0.24796084828711257, 2.7672996860530046e-62), 0.2495921696574225)
('norm', 10, (0, 10, 10)), ((0.24796084828711257, 2.767300174758955e-62), 0.2495921696574225)
('norm', 11, (1, 0.1, 1)), ((0.24877650897226755, -0.8930639253220806), 0.9225122349102772)
('norm', 'no pca', (1, 0.1, 1)), ((0.25203915171288743, -0.8885182314784048), 0.9241435562805872)
('norm', 11, (0, 0.1, 1)), ((0.2544861337683524, -9.353021274515671e-33), 0.2544861337683524)
('norm', 'no pca', (0, 0.1, 10)), ((0.25774877650897227, -4.936692281735e-312), 0.25774877650897227)
('norm', 11, (0, 0.1, 10)), ((0.25774877650897227, -4.93669228174e-312), 0.25774877650897227)
('norm', 11, (0, 1, 10)), ((0.25938009787928223, -4.9366921958196e-311), 0.25938009787928223)
('norm', 11, (0, 10, 10)), ((0.25938009787928223, -4.9366936206446e-311), 0.25938009787928223)
('norm', 'no pca', (0, 1, 10)), ((0.26101141924959215, -4.936692279462e-311), 0.26101141924959215)
('norm', 'no pca', (0, 10, 10)), ((0.26101141924959215, -4.9366923453194e-311), 0.26101141924959215)
('norm', 10, (0, 0.1, 1)), ((0.26182707993474713, 6.985417222966437e-08), 0.2634584013050571)
('norm', 'no pca', (0, 0.1, 1)), ((0.2716150081566069, -9.353021274515403e-33), 0.2716150081566069)
('raw', 'no pca', (0, 0.1, 1)), ((0.4257748776508973, 9.435763533628948e-201), 0.4265905383360522)
('raw', 'no pca', (0, 0.1, 10)), ((0.42740619902120713, 7.092719057535642e-259), 0.4298531810766721)
('raw', 'no pca', (0, 1, 10)), ((0.42740619902120713, 3.5463601198409785e-258), 0.4298531810766721)
('raw', 'no pca', (0, 10, 10)), ((0.42740619902120713, 3.546359991633027e-258), 0.4298531810766721)
('raw', 'no pca', (0, 1, 1)), ((0.43066884176182707, 9.435763533628948e-200), 0.431484502446982)
('raw', 'no pca', (0, 10, 1)), ((0.431484502446982, 9.43576515740686e-200), 0.43230016313213704)
('raw', 'no pca', (1, 10, 1)), ((0.5187601957585645, -0.34967484086530964), 0.6280587275693311)
('norm', 10, (1, 10, 10)), ((0.5228384991843393, -0.3458895341257746), 0.6264274061990212)
('raw', 'no pca', (1, 0.1, 1)), ((0.5244698205546492, -0.9373433958132902), 1.0)
('norm', 11, (1, 1, 10)), ((0.5244698205546493, -0.4667449026830829), 0.6231647634584013)
('raw', 'no pca', (1, 1, 1)), ((0.5252854812398042, -0.46824498584656243), 0.636215334420881)
('norm', 10, (1, 0.1, 10)), ((0.5269168026101142, -0.9375002704034773), 1.0)
('norm', 11, (1, 0.1, 10)), ((0.5285481239804242, -0.9373987757382476), 1.0)
('norm', 10, (1, 1, 10)), ((0.5309951060358891, -0.46702726413549245), 0.6280587275693311)
('norm', 11, (1, 10, 10)), ((0.5350734094616639, -0.34343750543920926), 0.6231647634584013)
('norm', 'no pca', (1, 10, 10)), ((0.5652528548123981, -0.35783769626777917), 0.6296900489396411)
('norm', 'no pca', (1, 0.1, 10)), ((0.5668841761827079, -0.9383100883237824), 1.0)
('norm', 'no pca', (1, 1, 10)), ((0.5693311582381729, -0.47597792505864156), 0.6313213703099511)
('raw', 'no pca', (1, 1, 10)), ((0.6402936378466557, -0.4767199728843833), 0.6574225122349103)
('raw', 'no pca', (1, 10, 10)), ((0.6402936378466557, -0.3501373665862152), 0.6508972267536705)
('raw', 'no pca', (1, 0.1, 10)), ((0.6427406199021207, -0.938795501185898), 1.0)
